epoch,phase,train_loss,lr,latency_ms,accuracy,precision_macro,recall_macro,f1_macro,mean_iou,latency_mean_ms
23,phase2_full,0.05781559767344591,0.0005,217.54454761855635,0.9056603773584906,0.906901800517446,0.9054861575550974,0.9055846403692185,0.6511375543137766,1.4531149916972868
24,phase2_full,0.04553477311854702,0.0005,219.93863511340103,0.900377358490566,0.902365206370486,0.9010407729165826,0.9001593416498597,0.6500795183506276,1.4508245486790399
25,phase2_full,0.041639435416570864,0.0005,215.57880344329834,0.8837735849056604,0.8872981608955348,0.8834057242389299,0.8835260475294971,0.6567542028033508,1.4495593177352415
26,phase2_full,0.09127453719849248,0.0005,217.1757969845355,0.8883018867924528,0.8930959345561444,0.8889399632147235,0.8895093915618583,0.6428328661198885,1.4492818233961684
27,phase2_full,0.06394852508723783,0.00025,216.89629194329848,0.8973584905660378,0.8975955083649374,0.8976957891978626,0.8972185090462663,0.6537636425068497,1.4509941645282762
28,phase2_full,0.03423423978681514,0.00025,216.83067140721627,0.9252830188679245,0.9250803775963623,0.9254182526429606,0.9250396421592629,0.6785707778118129,1.4510533562264205
29,phase2_full,0.02157786190780836,0.00025,221.0349420618574,0.9215094339622641,0.9210619730627376,0.9218994652237154,0.9213974668223301,0.6805803663072721,1.4498456943390852
30,phase2_full,0.017165420579038134,0.00025,216.60269831443085,0.9245283018867925,0.9244293789945963,0.9247440801646121,0.9245200720190665,0.6822743345112627,1.452756409811936
31,phase2_full,0.014557986703784888,0.00025,217.305990757732,0.9283018867924528,0.9281490160564582,0.9285605103343808,0.9283167231357361,0.6830169223234901,1.452236067168928
32,phase2_full,0.013956957934582388,0.00025,216.75760044329942,0.9275471698113208,0.9276750022630097,0.9278176466228467,0.9276967722559402,0.6857630366677383,1.4511249018859125
33,phase2_full,0.013584424115012707,0.00025,226.80371967010277,0.9230188679245283,0.9229462112412119,0.9232445913259306,0.9230824842632348,0.6894187710195218,1.4518540354714238
34,phase2_full,0.010708115767934507,0.00025,216.77435759278356,0.9290566037735849,0.9290706318963776,0.9294262436615025,0.9291060268403267,0.6912844308367315,1.4508756301891583
35,phase2_full,0.013166309640424367,0.00025,217.34712618556784,0.9192452830188679,0.9192043437739162,0.9197781081106505,0.9191556973085877,0.6863300332202101,1.4499500656594773
36,phase2_full,0.012531411746274394,0.00025,217.60595989690748,0.9252830188679245,0.9253138791879006,0.9259273249247396,0.9254125566979721,0.6916030782306531,1.4504150543390733
37,phase2_full,0.009799469778391027,0.00025,217.00010182989806,0.9290566037735849,0.929177942118876,0.9292619045783814,0.9291723918331659,0.6940777438007436,1.4509644981139127
